Drug_ID,Drug,Y,Scaffold
3233866.0,CN(C)c1ccc(-c2cncnc2-n2ccnc2)cc1,1,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e3b0>
710575.0,Cc1ccc(N2C(=O)C(Cl)=C(NCc3ccccc3)C2=O)c(C)c1,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e2d0>
974630.0,CC(C)(C)Nc1nc(N2CCCC2)nc(N2CCCC2)n1,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e490>
4117727.0,O=C(Nc1cc2ccccc2oc1=O)C1CCCCC1,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e500>
1372564.0,O=C1/C(=C/c2cccnc2)SC(=S)N1Cc1ccco1,1,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e570>
16758673.0,CC(C)CO/N=C1/C[C@@H](O)[C@@H](O)[C@@H]2[C@@H]3C(=O)N(C[C@@H]4CCCO4)C(=O)[C@H]3CC[C@@H]12,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e5e0>
3233125.0,O=C(c1ccncc1)N1CCC2(CC1)CCN(c1ccncc1)CC2,1,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e6c0>
756972.0,CCN1CCC2(CC1)NC(CO)(CO)CO2,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e7a0>
6518392.0,CC(C)=NOC[C@@H](O)COCc1ccco1,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e880>
413487.0,Oc1cc(CN2COc3ccccc32)c(O)cc1CNC1CCCCC1,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e960>
662670.0,COC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)c1ccc2c(c1)OCO2,1,<rdkit.Chem.rdchem.Mol object at 0x7f514d03e9d0>
16410659.0,O=c1/c(=C\c2ccc(O)cc2)sc2n1C(c1ccccc1)C(c1ccccc1)=NN=2,0,<rdkit.Chem.rdchem.Mol object at 0x7f514d03ea40>
3235494.0,Cc1cccc(CNc2ccnc(-c3cccc(C#N)c3)n2)c1,1,<rdkit.Chem.rdchem.Mol object at 0x7f514d03eab0>
